,Time_tweeted,User,Tweet
71,2022-05-18 18:05:07+00:00,fastbreakbreak,don’t yell at me but have we considered trading taylor jenkins at peak value
72,2022-05-18 18:05:07+00:00,archielizabeths,taylor swift https://t.co/mT2FTXIs2z
73,2022-05-18 18:05:02+00:00,AdangerC,Taylor Sheridan is just making whatever Western show he wants and just saying “guys don’t worry it’s a Yellowstone show” https://t.co/ExOlP1BsA7
74,2022-05-18 18:05:02+00:00,verysfirstnight,dr taylor swift has such a nice ring to it https://t.co/99HU9jK3Mt
75,2022-05-18 18:05:01+00:00,umar_enrique,"""I am a doctor now so I know how breathing works"" ~ Dr Taylor Alison Swift! #TaylorSwift
#22GraduatesVersion https://t.co/QULliXRgi6"
76,2022-05-18 18:05:00+00:00,gofightswift,"today was truly so special. without @taylorswift13, there was no way on earth i could ever believe in myself enough to go to nyu, and now i’m halfway done. despite it not being my graduation, taylor’s words will be my motivator for the next half of college #NYU22 #imfeeling2022 https://t.co/0lABonQclm"
77,2022-05-18 18:05:00+00:00,vvalmaga,dr taylor swift 🥺
78,2022-05-18 18:04:59+00:00,karen_tsswift13,"""don't hide your enthusiasm for things. never be ashamed of trying. effortlessness is a myth!"" - doctor taylor swift"
79,2022-05-18 18:04:58+00:00,imsanewsbot,Jordan Taylor is denying involvement with Compass Racing Acura for the Sebring 12 Hour.
80,2022-05-18 18:04:57+00:00,fentyfobia,"""Doctor Taylor Alison Swift"" 🥹🥹🥹 https://t.co/qtHPh2QIiN"
81,2022-05-18 18:04:57+00:00,_Folkl0ver,"""WELCOME TO NEW YORK, IT'S BEEN WAITING FOR YOU"" TAYLOR ALISON SWIFT, BASTA, ME VOY A MORIR EN CUALQUIER MOMENTO"
82,2022-05-18 18:04:56+00:00,braidrrys,i got a degree before taylor swift did
83,2022-05-18 18:04:56+00:00,tisthedamnSwift,DOCTOR TAYLOR ALISON SWIFT https://t.co/jkCOmzgScm
84,2022-05-18 18:04:53+00:00,AnkitalovesTay,"""Part of growing up and moving into new chapters of your life is about catch and release."" - Dr. Taylor Swift at the NYU 2022 graduation speech. https://t.co/kVDN6eBrjO"
85,2022-05-18 18:04:52+00:00,mintmoonlight_,"The fact that Taylor Swift is technically a doctor now 😭😭 

Dr Taylor Swift ✨️"
86,2022-05-18 18:04:52+00:00,sh4stings,DOUTORA TAYLOR SWIFT
87,2022-05-18 18:04:51+00:00,fagioto69,Taylor Swift is a dumb bitch.
88,2022-05-18 18:04:50+00:00,likedaylightxx,“Taylor Alison Swift Honorary PhD in Fine Arts” has a lovely ring to it!💜🎓
89,2022-05-18 18:04:49+00:00,misshapenluv,"the first thing that made me squeal and cry at the same time was ""hi, im taylor"". like- i know she does that - introducing herself in front of crowds of people as if most of them aren't there just to see her- but it hits me everytime. she is just so adorable. my baby i love you"
90,2022-05-18 18:04:49+00:00,sheeran_AIart,"And I'll sing like no one cares. No one to be, no one to tell.

“Run” - Taylor Swift (feat. Ed Sheeran) https://t.co/3PO4G9A6VK"
91,2022-05-18 18:04:43+00:00,G0LDENHAL0,taylor swift is the only woman ever
92,2022-05-18 18:04:43+00:00,zzemiraa,DR. TAYLOR YA’LL. TONIGHT WE PARTY KEBSKSBBSKSBSB
93,2022-05-18 18:04:43+00:00,judesarcade,her not getting the hint to shake his hand will go down in history of taylor being taylor https://t.co/hvzWB0ElKp
94,2022-05-18 18:04:43+00:00,celestialtori,crying at all the videos of taylor swifts commencement speech she looks so happy i’m so proud of her
95,2022-05-18 18:04:42+00:00,folkloretwt,gn to dr taylor swift only https://t.co/OtJOT5lw1t
96,2022-05-18 18:04:40+00:00,quarterslav,lmao i'm actually blocked by taylor lorenz somehow
